row_order,industry_name,naics_code,industry_name_norm,series_id,supersector_code,industry_code,data_type_code,seasonal,series_title,footnote_codes,begin_year,begin_period,end_year,end_period,display_level,matched,industry_code_8,parent_series_id,parent_rule,denominator_opt1,denominator_opt1_name,denominator_opt2,denominator_opt2_name,denominator_opt3,denominator_opt3_name,denominator_opt4,denominator_opt4_name,denominator_opt5,denominator_opt5_name
43,Other heavy and civil engineering construction,2379,other heavy and civil engineering construction,CES2023790001,20,20237900,1,S,"All employees, thousands, other heavy and civil engineering construction, seasonally adjusted",I,1990,M01,2025,M12,5,True,20237900,CES2023700001,parent_3digit,CES2023700001,Heavy and civil engineering construction,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
44,Specialty trade contractors,238,specialty trade contractors,CES2023800001,20,20238000,1,S,"All employees, thousands, specialty trade contractors, seasonally adjusted",,1976,M01,2026,M01,4,True,20238000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
45,Residential specialty trade contractors,part238,residential specialty trade contractors,CES2023800101,20,20238001,1,S,"All employees, thousands, residential specialty trade contractors, seasonally adjusted",,2001,M01,2026,M01,4,True,20238001,CES2023800001,parent_3digit,CES0600000001,Goods-producing,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
46,Nonresidential specialty trade contractors,part238,nonresidential specialty trade contractors,CES2023800201,20,20238002,1,S,"All employees, thousands, nonresidential specialty trade contractors, seasonally adjusted",,2001,M01,2026,M01,4,True,20238002,CES2023800001,parent_3digit,CES0600000001,Goods-producing,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
47,"Foundation, structure, and building exterior contractors",2381,foundation structure and building exterior contractors,CES2023810001,20,20238100,1,S,"All employees, thousands, foundation, structure, and building exterior contractors, seasonally adjusted",I,1990,M01,2025,M12,5,True,20238100,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
48,Poured concrete foundation and structure contractors,23811,poured concrete foundation and structure contractors,CES2023811001,20,20238110,1,S,"All employees, thousands, poured concrete foundation and structure contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238110,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
49,Structural steel and precast concrete contractors,23812,structural steel and precast concrete contractors,CES2023812001,20,20238120,1,S,"All employees, thousands, structural steel and precast concrete contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238120,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
50,Framing contractors,23813,framing contractors,CES2023813001,20,20238130,1,S,"All employees, thousands, framing contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238130,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
51,Masonry contractors,23814,masonry contractors,CES2023814001,20,20238140,1,S,"All employees, thousands, masonry contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238140,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
52,Glass and glazing contractors,23815,glass and glazing contractors,CES2023815001,20,20238150,1,S,"All employees, thousands, glass and glazing contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238150,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
53,Roofing contractors,23816,roofing contractors,CES2023816001,20,20238160,1,S,"All employees, thousands, roofing contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238160,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
54,Siding contractors,23817,siding contractors,CES2023817001,20,20238170,1,S,"All employees, thousands, siding contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238170,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
55,"Other foundation, structure, and building exterior contractors",23819,other foundation structure and building exterior contractors,CES2023819001,20,20238190,1,S,"All employees, thousands, other foundation, structure, and building exterior contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238190,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
56,Building equipment contractors,2382,building equipment contractors,CES2023820001,20,20238200,1,S,"All employees, thousands, building equipment contractors, seasonally adjusted",I,1990,M01,2025,M12,5,True,20238200,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
57,Electrical contractors and other wiring installation contractors,23821,electrical contractors and other wiring installation contractors,CES2023821001,20,20238210,1,S,"All employees, thousands, electrical contractors and other wiring installation contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238210,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
58,"Plumbing, heating, and air-conditioning contractors",23822,plumbing heating and air-conditioning contractors,CES2023822001,20,20238220,1,S,"All employees, thousands, plumbing, heating, and air-conditioning contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238220,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
59,Other building equipment contractors,23829,other building equipment contractors,CES2023829001,20,20238290,1,S,"All employees, thousands, other building equipment contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238290,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
60,Building finishing contractors,2383,building finishing contractors,CES2023830001,20,20238300,1,S,"All employees, thousands, building finishing contractors, seasonally adjusted",I,1990,M01,2025,M12,5,True,20238300,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
61,Drywall and insulation contractors,23831,drywall and insulation contractors,CES2023831001,20,20238310,1,S,"All employees, thousands, drywall and insulation contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238310,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
62,Painting and wall covering contractors,23832,painting and wall covering contractors,CES2023832001,20,20238320,1,S,"All employees, thousands, painting and wall covering contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238320,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
63,Flooring contractors,23833,flooring contractors,CES2023833001,20,20238330,1,S,"All employees, thousands, flooring contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238330,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
64,Tile and terrazzo contractors,23834,tile and terrazzo contractors,CES2023834001,20,20238340,1,S,"All employees, thousands, tile and terrazzo contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238340,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
65,Finish carpentry contractors,23835,finish carpentry contractors,CES2023835001,20,20238350,1,S,"All employees, thousands, finish carpentry contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238350,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
66,Other building finishing contractors,23839,other building finishing contractors,CES2023839001,20,20238390,1,S,"All employees, thousands, other building finishing contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238390,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
67,Other specialty trade contractors,2389,other specialty trade contractors,CES2023890001,20,20238900,1,S,"All employees, thousands, other specialty trade contractors, seasonally adjusted",I,1990,M01,2025,M12,5,True,20238900,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
68,Site preparation contractors,23891,site preparation contractors,CES2023891001,20,20238910,1,S,"All employees, thousands, site preparation contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238910,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
69,All other specialty trade contractors,23899,all other specialty trade contractors,CES2023899001,20,20238990,1,S,"All employees, thousands, all other specialty trade contractors, seasonally adjusted",,1990,M01,2025,M12,6,True,20238990,CES2023800001,parent_3digit,CES2023800201,Nonresidential specialty trade contractors,CES0600000001,Goods-producing,CES2000000001,Construction,CES0600000001,Goods-producing,CES0500000001,Total private
70,Manufacturing,,manufacturing,CES3000000001,30,30000000,1,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2026,M01,2,True,30000000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES0600000001,Goods-producing,CES0600000001,Goods-producing,CES0600000001,Goods-producing,CES0500000001,Total private
71,Durable goods,,durable goods,CES3100000001,31,31000000,1,S,"All employees, thousands, durable goods, seasonally adjusted",,1939,M01,2026,M01,3,True,31000000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES0600000001,Goods-producing,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
72,Wood product manufacturing,321,wood product manufacturing,CES3132100001,31,31321000,1,S,"All employees, thousands, wood product manufacturing, seasonally adjusted",,1990,M01,2026,M01,4,True,31321000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
73,Sawmills and wood preservation,3211,sawmills and wood preservation,CES3132110001,31,31321100,1,S,"All employees, thousands, sawmills and wood preservation, seasonally adjusted",I,1990,M01,2025,M12,5,True,31321100,CES3132100001,parent_3digit,CES3132100001,Wood product manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
