row_order,industry_name,naics_code
481,Wired and wireless telecommunications (except satellite),5171
482,Wired and wireless telecommunications carriers (except satellite),51711
483,Wired telecommunications carriers,517111
484,Wireless telecommunications carriers (except satellite),517112
485,Telecommunications resellers,51712
486,All other telecommunications,"5174,8"
487,"Computing infrastructure providers, data processing, web hosting, and related services",518
488,"Web search portals, libraries, archives, and other information services",519
489,Libraries and archives,51921
490,Web search portals and all other information services,51929
491,Financial activities,
492,Finance and insurance,52
493,Monetary authorities-central bank,521
494,Credit intermediation and related activities,522
495,Depository credit intermediation,5221
496,Commercial banking,52211
497,Credit unions,52213
498,Savings institutions and other depository credit intermediation,52218
499,Nondepository credit intermediation,5222
500,Credit card issuing,52221
501,Sales financing,52222
502,Other nondepository credit intermediation,52229
503,Consumer lending,522291
504,Real estate credit,522292
505,"International, secondary market, and all other nondepository credit intermediation",522299
506,Activities related to credit intermediation,5223
507,Mortgage and nonmortgage loan brokers,52231
508,"Financial transactions processing, reserve, and clearinghouse activities",52232
509,Other activities related to credit intermediation,52239
510,"Securities, commodity contracts, funds, trusts, and other financial vehicles, investments, and related activities","523,5"
511,"Securities and commodity contracts brokerage, intermediation, and exchanges","5231,2"
512,Investment banking and securities intermediation,52315
513,"Funds, trusts, and other financial vehicles and investment activities","5239,50"
514,Miscellaneous intermediation,52391
515,Portfolio management and investment advice,52394
516,All other financial investment activities,"52399,500"
517,Insurance carriers and related activities,524
518,Insurance carriers,5241
519,"Direct life, health, and medical insurance carriers",52411
520,"Direct insurance (except life, health, and medical) carriers",52412
521,Direct property and casualty insurance carriers,524126
522,"Direct title insurance and other direct insurance (except life, health, and medical) carriers","524127,8"
523,Reinsurance carriers,52413
524,"Agencies, brokerages, and other insurance related activities",5242
525,Insurance agencies and brokerages,52421
526,Other insurance related activities,52429
527,Claims adjusting,524291
528,Pharmacy benefit management and other third party administration of insurance and pension funds,524292
529,All other insurance related activities,524298
530,Real estate and rental and leasing,53
531,Real estate,531
532,Lessors of real estate,5311
533,Lessors of residential buildings and dwellings,53111
534,Lessors of nonresidential buildings (except miniwarehouses),53112
535,Lessors of miniwarehouses and self-storage units,53113
536,Lessors of other real estate property,53119
537,Offices of real estate agents and brokers,5312
538,Activities related to real estate,5313
539,Real estate property managers,53131
540,Residential property managers,531311
541,Nonresidential property managers,531312
542,Offices of real estate appraisers,53132
543,Other activities related to real estate,53139
544,Rental and leasing services,532
545,Automotive equipment rental and leasing,5321
546,Passenger car rental and leasing,53211
547,"Truck, utility trailer, and recreational vehicle (RV) rental and leasing",53212
548,Consumer goods rental,5322
549,Home health equipment rental,532283
550,General rental centers,5323
551,Commercial and industrial machinery and equipment rental and leasing,5324
552,"Construction, transportation, mining, and forestry machinery and equipment rental and leasing",53241
553,"Office, commercial, and industrial machinery and equipment rental and leasing","53242,9"
554,Lessors of nonfinancial intangible assets (except copyrighted works),533
555,Professional and business services,
556,"Professional, scientific, and technical services",54
557,Legal services,5411
558,Offices of lawyers,54111
559,Other legal services,54119
560,"Accounting, tax preparation, bookkeeping, and payroll services",5412
561,Offices of certified public accountants,541211
562,Tax preparation services,541213
563,Payroll services,541214
564,Other accounting services,541219
565,"Architectural, engineering, and related services",5413
566,Architectural services,54131
567,Landscape architectural services,54132
568,Engineering and drafting services,"54133,4"
569,"Building inspection, surveying, and mapping services","54135,6,7"
570,Testing laboratories and services,54138
571,Specialized design services,5414
572,Interior design services,54141
573,Graphic design services,54143
574,Computer systems design and related services,5415
575,Custom computer programming services,541511
576,Computer systems design services,541512
577,Computer facilities management services,541513
578,Other computer related services,541519
