date,awp_level,benchmark_level,yoy,benchmark_yoy,real_yoy,rel_yoy,cpiu_yoy
2014-06,68985.0,78668367.0,0.009039448856904646,0.042053237985050285,-0.011550368089039562,-0.033013789128145635,0.02058981694594421
2014-07,69031.0,78886057.0,0.017436033486617143,0.04551795631989609,-0.002306345216688932,-0.028081922833278945,0.019742378703306074
2014-08,68730.0,79474719.0,0.00981458082336693,0.04679858882489854,-0.007336402659602104,-0.03698400800153161,0.017150983482969034
2014-09,70583.0,79460538.0,0.03182469374031518,0.04310835995149487,0.014984184029083067,-0.01128366621117969,0.01684050971123211
2014-10,71991.0,79936454.0,0.048636601992658623,0.04921612898648773,0.032541184971145304,-0.0005795269938291062,0.01609541702151332
2014-11,72068.0,80391782.0,0.03777089783281734,0.04709791243860924,0.02545564793960927,-0.009327014605791897,0.012315249893208072
2014-12,72908.0,80485613.0,0.05761866078681676,0.04945657313711272,0.05108744686719366,0.008162087649704039,0.006531213919623104
2015-01,71869.0,81022837.0,0.04772942634302792,0.05318150285999868,0.05002873612508224,-0.005452076516970765,-0.00229930978205432
2015-02,72685.0,81321459.0,0.060011666909727285,0.05576469312273949,0.060881981539079325,0.0042469737869877955,-0.0008703146293520363
2015-03,73124.0,81386921.0,0.0559574867507112,0.04791138364390122,0.05617779959494999,0.008046103106809983,-0.00022031284423878735
2015-04,74063.0,81675939.0,0.06842181188690133,0.04430008769718425,0.06946212178084038,0.02412172418971708,-0.001040309893939057
2015-05,73856.0,82473251.0,0.06459099099099098,0.052887813678655346,0.06424065880854812,0.011703177312335639,0.0003503321824428638
2015-06,73663.0,82637875.0,0.06781184315430891,0.05045875682153158,0.06601612505675836,0.01735308633277733,0.0017957180975505568
2015-07,74727.0,82878218.0,0.08251365328620475,0.05060667438353523,0.08025679217579539,0.03190697890266952,0.0022568611104093568
2015-08,75655.0,83249062.0,0.10075658373344973,0.04749111475310784,0.09834354574810492,0.05326546898034189,0.002413037985344812
2015-09,76597.0,83480806.0,0.08520465267840698,0.050594522780603376,0.08511622306206523,0.0346101298978036,8.84296163417366e-05
2015-10,76711.0,83992286.0,0.06556375102443361,0.05073820262279836,0.06428758541772849,0.014825548401635254,0.0012761656067051227
2015-11,76461.0,83985383.0,0.06095631903202531,0.044701098925758354,0.05659313686284021,0.016255220106266954,0.004363182169185097
2015-12,76830.0,84459801.0,0.05379382235145663,0.04937761982380628,0.047406574836091744,0.004416202527650355,0.00638724751536489
2016-01,77832.0,84990081.0,0.0829704044859397,0.04896451601663862,0.07059537945899592,0.03400588846930108,0.012375025026943784
2016-02,78185.0,84938266.0,0.075668982596134,0.044475431755350084,0.0671962068060073,0.031193550840783915,0.008472775790126707
2016-03,78288.0,85292576.0,0.07061976915923636,0.04798873027768184,0.061703608193714385,0.022631038881554516,0.008916160965521974
2016-04,77956.0,85700779.0,0.0525633582220542,0.049278160120081384,0.04083710071851947,0.003285198101972815,0.011726257503534733
