date,ahe_level,benchmark_level,yoy,benchmark_yoy,real_yoy,rel_yoy,cpiu_yoy
2009-03,23.05,22.05,0.11137897782063656,0.03230337078651691,0.11584376549726039,0.07907560703411964,-0.004464787676623829
2009-04,23.2,22.1,0.11753371868978793,0.03367633302151555,0.12329696293355495,0.08385738566827239,-0.005763244243767021
2009-05,23.34,22.12,0.11301859799713883,0.030274802049371316,0.12317621295569059,0.08274379594776751,-0.01015761495855176
2009-06,23.32,22.14,0.10051911278905139,0.028810408921933133,0.11281085897116054,0.07170870386711825,-0.01229174618210915
2009-07,23.26,22.18,0.0864082204577301,0.026851851851851773,0.10599583049535288,0.059556368605878325,-0.019587610037622785
2009-08,23.5,22.23,0.08947612424663884,0.024423963133640605,0.1043144799099065,0.06505216111299823,-0.01483835566326766
2009-09,23.35,22.27,0.08051827857473401,0.02485043718361708,0.09429770720359872,0.055667841391116926,-0.013779428628864701
2009-10,23.43,22.31,0.08371877890841807,0.025275735294117516,0.08595846185042143,0.058443043614300555,-0.0022396829420033566
2009-11,23.5,22.34,0.06575963718820858,0.021957913998170195,0.0466137654434993,0.04380172319003839,0.019145871744709282
2009-12,23.41,22.37,0.0497757847533632,0.019134396355353155,0.021634553521279586,0.030641388398010047,0.028141231232083615
2010-01,23.23,22.4,0.029698581560283766,0.02003642987249534,0.003487467670516685,0.009662151687788424,0.02621111388976708
2010-02,23.31,22.46,0.010403120936280817,0.0218380345768881,-0.011110242642384438,-0.011434913640607282,0.021513363578665255
2010-03,22.97,22.46,-0.003470715835141078,0.01859410430839003,-0.02633243022842094,-0.022064820143531106,0.022861714393279862
2010-04,23.3,22.49,0.004310344827586268,0.017647058823529276,-0.0177573626977182,-0.013336713995943009,0.02206770752530447
2010-05,23.23,22.51,-0.0047129391602399075,0.017631103074141074,-0.024748428452425694,-0.02234404223438098,0.020035489292185786
2010-06,23.19,22.53,-0.0055746140651800604,0.017615176151761544,-0.016790220005866406,-0.023189790216941605,0.011215605940686347
2010-07,23.32,22.59,0.002579535683576901,0.018485121731289456,-0.010828249121244084,-0.015905586047712555,0.013407784804820985
2010-08,23.46,22.62,-0.0017021276595744319,0.017543859649122834,-0.013203903054686914,-0.019245987308697265,0.011501775395112481
