date,numerator_series_id,denominator_series_id,numerator_name,denominator_name,emp_numerator,emp_denominator,share,detrended_share_ma60,detrended_share_hamilton_logshare,detrended_share_poly3_logempdiff,detrended_log_emp_numerator_poly3,detrended_log_emp_denominator_poly3
2001-12-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,326.5,1589.0,0.2054751415984896,,,-0.014273468930769,-0.0397063896845732,-0.0254329207538042
2002-01-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,321.4,1576.3,0.2038951976146672,,,-0.0240415495416552,-0.0547501515397845,-0.0307086019981293
2002-02-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,321.0,1569.1,0.204575871518705,,,-0.0227485694353308,-0.0553191874181857,-0.0325706179828548
2002-03-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,319.5,1560.1,0.2047945644509967,,,-0.0237105790713583,-0.0593499699544173,-0.035639390883059
2002-04-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,318.3,1557.1,0.2044184702331257,,-0.0579125187980302,-0.027569757840113,-0.0624828584825039,-0.0349131006423908
2002-05-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,317.8,1555.3,0.2043335690863499,,-0.057439620342937,-0.0299967830452798,-0.0634476916971538,-0.0334509086518739
2002-06-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,318.5,1553.2,0.2050605202163275,,-0.0533173652196683,-0.0284475670927886,-0.060662816103381,-0.0322152490105924
2002-07-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,318.7,1549.7,0.2056527069755436,,-0.0588177944779668,-0.0275565007630635,-0.0594727955506844,-0.0319162947876208
2002-08-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,318.2,1543.3,0.2061815589969546,,-0.0596167146378063,-0.0269713201991459,-0.0605027957271495,-0.0335314755280036
2002-09-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,318.5,1540.5,0.2067510548523206,,-0.0557039313088443,-0.0261865433428853,-0.0590422883298975,-0.0328557449870121
2002-10-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,318.7,1534.7,0.2076627353880237,,-0.0526777443896564,-0.0237505971797764,-0.057918138940459,-0.0341675417606825
2002-11-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,316.4,1525.7,0.2073802189159074,,-0.0439279161096997,-0.0270662573945648,-0.0646862550581781,-0.0376199976636133
2002-12-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,314.3,1517.8,0.2070760310976413,,-0.0497703334763579,-0.0304787463872875,-0.0708919995583112,-0.0404132531710237
2003-01-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,313.5,1511.3,0.2074373056309137,,-0.0425772346502328,-0.0306705097433317,-0.0730081457771785,-0.0423376360338467
2003-02-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,310.7,1499.2,0.20724386339381,,-0.0444911504198624,-0.0335286239737202,-0.0815681502735738,-0.0480395262998536
2003-03-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,312.2,1495.8,0.2087177430137718,,-0.0375784323238843,-0.0283573475041718,-0.0763611060037021,-0.0480037584995303
2003-04-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,311.0,1487.4,0.2090896867016269,,-0.0465995056257124,-0.0284824458102672,-0.079841824164232,-0.0513593783539647
2003-05-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,310.6,1480.0,0.2098648648648649,,-0.0445223540515751,-0.026677612271178,-0.0807787109892208,-0.0541010987180428
2003-06-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,310.2,1473.6,0.2105048859934853,,-0.0316120167760753,-0.0255183957703977,-0.081737307679556,-0.0562189119091582
2003-07-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,308.8,1464.0,0.2109289617486338,,-0.0079729542005242,-0.0253817661054531,-0.0859505166033427,-0.0605687504978895
2003-08-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,308.5,1465.0,0.210580204778157,,-0.0121807436788061,-0.028902526164348,-0.0866318956102096,-0.0577293694458616
2003-09-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,308.8,1462.0,0.2112175102599179,,-0.0090118660525042,-0.0277366438042632,-0.0853887411323741,-0.0576520973281109
2003-10-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,310.5,1464.0,0.2120901639344262,,-0.0107522872514151,-0.0254595693040986,-0.0796466826183941,-0.0541871133142954
2003-11-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,311.1,1469.2,0.2117478900081677,,-0.0132397126169332,-0.028910587296135,-0.0774831974347964,-0.0485726101386614
2003-12-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,313.9,1472.8,0.2131314502987506,,-0.0017593091671181,-0.0242236566715892,-0.0683089357304034,-0.0440852790588142
2004-01-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,315.7,1475.3,0.2139903748390157,,0.0161136303016542,-0.0220174242171413,-0.0623953714036895,-0.0403779471865481
2004-02-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,317.9,1479.8,0.2148263278821462,,0.0138977699948577,-0.0199240712616664,-0.0552736238455384,-0.035349552583872
2004-03-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,319.7,1480.1,0.21599891899196,,0.0107385811094602,-0.0162759367281424,-0.0494683061524305,-0.0331923694242881
2004-04-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,321.3,1489.5,0.2157099697885196,,0.0056625538611039,-0.0193996857425098,-0.0443349004695541,-0.0249352147270442
2004-05-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,324.2,1498.3,0.2163785623706867,,0.0133402525604018,-0.0180798409770108,-0.0352260838360756,-0.0171462428590647
